size,rank,NX,omp_threads,setup_time,comm_time,comp_time
32,25,1000,4,0.276869,0.220843,0.089246
32,25,1000,8,0.296379,0.112056,0.044125
32,26,10000,16,0.293812,7.804589,1.996361
32,26,10000,1,0.300015,10.088537,29.721449
32,26,10000,2,0.298129,9.795860,15.091506
32,26,10000,32,0.300457,5.575282,1.020208
32,26,10000,4,0.297026,9.599566,7.620673
32,26,10000,8,0.308549,8.882005,3.878906
32,26,1000,16,0.298463,0.136126,0.027809
32,26,1000,1,0.283012,0.241377,0.304432
32,26,1000,2,0.263634,0.166938,0.157266
32,26,1000,32,0.281995,0.094581,0.024483
32,26,1000,4,0.276805,0.227749,0.082334
32,26,1000,8,0.308307,0.107261,0.048945
32,27,10000,16,0.293585,7.810822,1.990272
32,27,10000,1,0.299732,10.208448,29.601590
32,27,10000,2,0.298148,9.901501,14.985804
32,27,10000,32,0.300359,5.581889,1.013590
32,27,10000,4,0.297072,9.641912,7.578420
32,27,10000,8,0.308451,8.937424,3.823477
32,27,1000,16,0.298367,0.136377,0.027604
32,27,1000,1,0.282938,0.227136,0.318686
32,27,1000,2,0.263437,0.166996,0.157205
32,27,1000,32,0.282077,0.098003,0.021059
32,27,1000,4,0.277161,0.227389,0.082687
32,27,1000,8,0.308239,0.111876,0.044299
32,28,10000,16,0.293665,7.808406,1.992629
32,28,10000,1,0.299811,10.155590,29.654529
32,28,10000,2,0.298056,9.877796,15.009484
32,28,10000,32,0.300423,5.586154,1.009340
32,28,10000,4,0.297048,9.640323,7.579981
32,28,10000,8,0.308437,8.929948,3.830928
32,28,1000,16,0.298493,0.136300,0.027680
32,28,1000,1,0.282987,0.239774,0.305910
32,28,1000,2,0.263513,0.154019,0.170207
32,28,1000,32,0.281998,0.092851,0.026218
32,28,1000,4,0.276969,0.215353,0.094724
32,28,1000,8,0.308256,0.111863,0.044327
32,29,10000,16,0.293520,7.806101,1.994971
32,29,10000,1,0.299761,10.158648,29.651285
32,29,10000,2,0.298128,9.889004,14.998278
32,29,10000,32,0.300468,5.572090,1.023212
32,29,10000,4,0.297107,9.626115,7.594001
32,29,10000,8,0.308547,8.915768,3.845115
32,29,1000,16,0.298320,0.136440,0.027542
32,29,1000,1,0.283005,0.238368,0.307444
32,29,1000,2,0.263560,0.166663,0.157556
32,29,1000,32,0.281901,0.097748,0.021313
32,29,1000,4,0.276873,0.228414,0.081680
32,29,1000,8,0.308376,0.112386,0.043792
32,2,10000,16,0.293789,4.617434,5.183448
32,2,10000,1,0.299867,6.453484,33.356183
32,2,10000,2,0.298388,6.125664,18.761421
32,2,10000,32,0.300668,3.250822,3.344462
32,2,10000,4,0.297154,5.884927,11.335218
32,2,10000,8,0.308615,5.387943,7.372937
32,2,1000,16,0.298463,0.137190,0.026760
